AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
513125,https://www.marinespecies.org/aphia.php?p=taxdetails&id=513125,Arbacia stellata,"(Blainville, 1825; ?Gmelin, 1791)",accepted,,220,Species,513125,Arbacia stellata,"(Blainville, 1825; ?Gmelin, 1791)",123371,Animalia,Echinodermata,Echinoidea,Arbacioida,Arbaciidae,Arbacia,"Kroh, A.; Mooi, R. (2025). World Echinoidea Database. Arbacia stellata (Blainville, 1825; ?Gmelin, 1791). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=513125 on 2025-07-07",urn:lsid:marinespecies.org:taxname:513125,1,0.0,0.0,0.0,0.0,like,2014-12-21T22:44:09.617Z
138050,https://www.marinespecies.org/aphia.php?p=taxdetails&id=138050,Haliotis,"Linnaeus, 1758",accepted,,180,Genus,138050,Haliotis,"Linnaeus, 1758",1727,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,"MolluscaBase eds. (2025). MolluscaBase. Haliotis Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=138050 on 2025-07-07",urn:lsid:marinespecies.org:taxname:138050,1,,,,,like,2019-08-15T01:19:50.897Z
124427,https://www.marinespecies.org/aphia.php?p=taxdetails&id=124427,Sphaerechinus granularis,"(Lamarck, 1816)",accepted,,220,Species,124427,Sphaerechinus granularis,"(Lamarck, 1816)",123436,Animalia,Echinodermata,Echinoidea,Camarodonta,Toxopneustidae,Sphaerechinus,"Kroh, A.; Mooi, R. (2025). World Echinoidea Database. Sphaerechinus granularis (Lamarck, 1816). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=124427 on 2025-07-07",urn:lsid:marinespecies.org:taxname:124427,1,0.0,0.0,0.0,0.0,like,2013-08-27T06:20:30.880Z
124332,https://www.marinespecies.org/aphia.php?p=taxdetails&id=124332,Diadema antillarum,"(Philippi, 1845)",accepted,,220,Species,124332,Diadema antillarum,"(Philippi, 1845)",123395,Animalia,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Diadema,"Kroh, A.; Mooi, R. (2025). World Echinoidea Database. Diadema antillarum (Philippi, 1845). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=124332 on 2025-07-07",urn:lsid:marinespecies.org:taxname:124332,1,0.0,0.0,0.0,0.0,like,2021-01-09T21:30:30.927Z
575156,https://www.marinespecies.org/aphia.php?p=taxdetails&id=575156,Haminoea vesicula,"(A. Gould, 1855)",accepted,,220,Species,575156,Haminoea vesicula,"(A. Gould, 1855)",138054,Animalia,Mollusca,Gastropoda,Cephalaspidea,Haminoeidae,Haminoea,"MolluscaBase eds. (2025). MolluscaBase. Haminoea vesicula (A. Gould, 1855). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=575156 on 2025-07-07",urn:lsid:marinespecies.org:taxname:575156,1,0.0,0.0,0.0,,like,2023-09-30T19:03:52.337Z
140271,https://www.marinespecies.org/aphia.php?p=taxdetails&id=140271,Loligo vulgaris,"Lamarck, 1798",accepted,,220,Species,140271,Loligo vulgaris,"Lamarck, 1798",138139,Animalia,Mollusca,Cephalopoda,Myopsida,Loliginidae,Loligo,"MolluscaBase eds. (2025). MolluscaBase. Loligo vulgaris Lamarck, 1798. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=140271 on 2025-07-07",urn:lsid:marinespecies.org:taxname:140271,1,,0.0,0.0,,like,2016-06-03T01:23:43.653Z
196177,https://www.marinespecies.org/aphia.php?p=taxdetails&id=196177,Clypeasteridae,"L. Agassiz, 1835",accepted,,140,Family,196177,Clypeasteridae,"L. Agassiz, 1835",196261,Animalia,Echinodermata,Echinoidea,Clypeasteroida,Clypeasteridae,,"WoRMS (2025). Clypeasteridae L. Agassiz, 1835. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=196177 on 2025-07-07",urn:lsid:marinespecies.org:taxname:196177,1,0.0,0.0,0.0,0.0,like,2012-02-17T07:42:19.800Z
124316,https://www.marinespecies.org/aphia.php?p=taxdetails&id=124316,Paracentrotus lividus,"(Lamarck, 1816)",accepted,,220,Species,124316,Paracentrotus lividus,"(Lamarck, 1816)",123387,Animalia,Echinodermata,Echinoidea,Camarodonta,Parechinidae,Paracentrotus,"Kroh, A.; Mooi, R. (2025). World Echinoidea Database. Paracentrotus lividus (Lamarck, 1816). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=124316 on 2025-07-07",urn:lsid:marinespecies.org:taxname:124316,1,0.0,0.0,0.0,0.0,like,2010-11-23T12:45:21.540Z
